Row/Case,Status,Description,"VARY   1
B2      
COL-SPEC
MOLE-RR 


","REBDUTY 




CAL/SEC 
","CONDDUTY




CAL/SEC 
","BPURITY 





","TPURITY 





"
1,OK,,1,223461.055,-206503.796,0.921182178,0.932369416
2,OK,,1.5,273411.112,-255806.271,0.978207339,0.981463417
3,OK,,2,324038.598,-306269.631,0.992099428,0.993294095
4,OK,,2.5,374911.654,-357099.024,0.995752384,0.996396684
5,OK,,3,425843.42,-408013.364,0.997217603,0.997640178
6,OK,,3.5,476797.72,-458958.757,0.997958144,0.998268445
7,OK,,4,527761.6,-509917.421,0.998392404,0.998636801
8,OK,,4.5,578730.613,-560883.076,0.99867219,0.9988741
9,OK,,5,629702.67,-611852.822,0.998864928,0.999037558